paper_id,tsne_x,tsne_y,pca_x,pca_y,true_class
41495,-19.309502,0.054228928,-1.9604385,0.82974935,24
169172,-35.847572,-33.935444,-2.3574052,-1.0732889,30
138733,-9.661621,9.77438,-1.3857135,0.63829124,13
151513,-16.446962,-37.671234,-1.0205281,-0.6270625,3
19964,8.598964,-46.04429,-0.90395707,-2.1988127,37
27291,-46.86437,8.794204,-2.4727015,0.6081828,30
85444,-29.033674,-33.763836,-1.8778241,-0.46962255,6
74610,-57.291233,21.955946,-4.4974604,1.9725866,24
156364,50.65429,30.673742,9.078004,5.2401195,18
96744,28.672194,28.852879,4.877007,3.8964915,19
136926,-50.261654,24.635519,-3.5880404,2.5049524,16
140678,25.318102,19.12952,1.2839884,1.2503865,10
12615,50.08166,3.3178775,4.5951123,-1.673234,28
94894,36.844036,-25.70852,1.3205129,-3.7222178,9
154962,25.673384,-38.879898,1.0177866,-2.995629,2
102864,47.417747,23.852358,4.4116054,3.2513878,8
62145,-39.164486,-27.764652,-2.5104048,-1.7388606,30
101888,-5.397837,-39.96569,-0.06314623,-1.42588,26
110752,41.774323,11.977048,2.3060508,1.6463132,28
35045,-32.555664,23.826382,-1.7204168,2.982303,16
144838,-28.148624,22.569931,-1.0958935,2.619632,16
53278,-43.22318,27.54071,-2.7694278,2.6388323,16
39773,-17.555813,3.071463,-0.99869037,0.56673974,24
144891,46.014404,3.4000566,3.5497599,-0.5583808,28
124966,-35.097046,14.823285,-2.8602371,1.9894385,16
8875,-25.043308,-2.8789005,-2.127336,0.47446072,24
118974,-40.495193,13.756612,-2.3002846,1.3423698,16
53510,39.936848,22.069569,2.9235187,1.1441858,28
41028,20.572027,-21.391544,0.6855887,-1.519156,10
68491,23.993656,-6.8732944,3.6876974,-3.929291,5
141652,-46.323105,20.645006,-3.385735,2.5068722,16
151406,23.256113,16.909758,-0.025433064,1.3576231,8
37205,-18.612957,-1.3992623,-1.7336808,0.69772094,16
29975,-44.93077,30.440456,-3.6046476,2.6836615,16
116605,49.014473,15.710737,4.8466244,0.93881035,28
73726,-16.508373,39.257847,-1.4413139,0.9531917,27
154618,-41.972073,-8.575393,-0.36468017,2.3222508,25
120486,34.998585,21.783297,4.8272314,3.0507298,28
159045,-23.696346,-42.673122,-0.37714052,-1.9869466,38
75029,-29.555336,15.725082,-2.8448615,2.2883742,16
120380,-19.835917,36.90967,-0.8373036,0.6290952,10
167431,55.935814,16.753075,4.2416244,2.8129668,28
160683,-42.446354,-9.170008,-1.8350884,1.4963055,25
47545,-37.38924,15.4536085,-2.3450677,1.7117834,3
84232,23.58069,35.586235,3.0401435,0.7697892,28
17443,-9.006387,-43.407238,-0.055895925,-1.6249557,26
119044,13.941349,-44.47149,0.4180827,-3.18088,2
166766,-5.8335404,-17.984217,-0.9364433,-0.97590464,10
